nome_modelo|iteracao|mean_test_rmse|mean_train_rmse
regressao_arvore_de_decisao|18|26830.012966741127|439901348.86069393
regressao_arvore_de_decisao|19|27322.683525312947|438487176.6041347
regressao_arvore_de_decisao|20|27276.91870407147|439478172.93627185
regressao_arvore_de_decisao|21|27142.250367922934|442980546.93043727
regressao_arvore_de_decisao|22|26908.53611909334|440496402.8032479
regressao_arvore_de_decisao|23|27033.410973250284|440415315.4040183
regressao_arvore_de_decisao|24|26943.478367634863|441002479.7324994
regressao_arvore_de_decisao|25|26916.279377612016|441322799.3791415
regressao_arvore_de_decisao|26|26851.592826595093|441271939.6021055
regressao_arvore_de_decisao|27|26986.51025628908|440516124.49941283
regressao_arvore_de_decisao|28|26270.325254404004|444131445.9930422
regressao_arvore_de_decisao|29|26464.354053248757|440248333.85876
regressao_random_florest|0|25059.484201265106|420776062.9283229
regressao_random_florest|1|25034.19130720569|420486619.78026
regressao_random_florest|2|24853.26310841796|421150801.2904892
regressao_random_florest|3|25097.43884370036|420419221.0436405
regressao_random_florest|4|24945.257667862876|420712319.5501914
regressao_random_florest|5|24883.42758531853|421202179.0873086
regressao_random_florest|6|25039.10302596193|420369289.58640957
regressao_random_florest|7|24928.83583770946|420692160.3730022
regressao_random_florest|8|24847.416267475364|421014748.4745174
regressao_random_florest|9|24769.51762103005|421373914.3984076
regressao_random_florest|10|25033.182374235166|420734228.21520054
regressao_random_florest|11|24983.482393167287|420821959.3430749
regressao_random_florest|12|25014.14175794613|420958951.4277539
regressao_random_florest|13|24917.07826945609|421337370.5142682
regressao_random_florest|14|24874.33481422162|421497736.8252497
regressao_random_florest|15|24865.262267066246|420881040.72898895
regressao_random_florest|16|24973.16013540829|420999151.2021488
regressao_random_florest|17|25062.486272682967|420786102.0743525
regressao_random_florest|18|24937.932476889535|421744252.95275086
regressao_random_florest|19|25126.7906416153|420624363.29899895
regressao_random_florest|20|25037.606839959066|420177861.5537029
regressao_random_florest|21|24819.975253390487|421169241.37301344
regressao_random_florest|22|24776.869593639167|421112917.7947477
regressao_random_florest|23|25007.846676451405|420780134.92839324
regressao_random_florest|24|24871.824772600474|420448143.5333592
regressao_random_florest|25|25016.789028067527|420505536.5899432
regressao_random_florest|26|24967.698206910416|420170719.9984988
regressao_random_florest|27|25022.51562582892|421022140.7075013
regressao_random_florest|28|25011.12829810517|420576772.94626427
regressao_random_florest|29|24794.0969788922|421129998.6439736
regressao_s_v_r|0|59607.37672461411|3534964158.120974
regressao_s_v_r|1|59564.20549379602|3535324004.2433496
regressao_s_v_r|2|59592.965892231114|3535816256.5048347
